I[A], m[g],    U[V],  Im[A]  
0.5,   37.27,   10,    0.04
1  ,   37.34,   10,    0.04
1.5,   37.40,   10,    0.04
2  ,   37.44,   10,    0.04
2.5,   37.53,   10,    0.04
3  ,   37.55,   10,    0.04
3.5,   37.62,   10,    0.04
4  ,   37.66,   10,    0.04
